timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42000.0,42007.46,41840.88,41999.82,34.2
2024-01-01 00:15:00,41999.82,42140.75,41895.36,42000.22,64.43
2024-01-01 00:30:00,42000.22,42057.03,41824.55,42000.05,65.02
2024-01-01 00:45:00,42000.05,42098.95,41819.62,41989.42,77.23
2024-01-01 01:00:00,41989.42,42044.86,41833.88,41994.96,25.43
2024-01-01 01:15:00,41994.96,42091.63,41864.76,41990.95,44.85
2024-01-01 01:30:00,41990.95,42108.5,41907.75,41992.71,46.24
2024-01-01 01:45:00,41992.71,42023.05,41940.66,41992.04,97.59
2024-01-01 02:00:00,41992.04,42179.14,41822.58,41991.84,55.73
2024-01-01 02:15:00,41991.84,42090.81,41960.98,41996.02,74.52
2024-01-01 02:30:00,41996.02,42021.45,41974.32,41999.7,83.71
2024-01-01 02:45:00,41999.7,42087.97,41909.18,41994.5,19.43
2024-01-01 03:00:00,41994.5,42046.13,41922.31,42001.62,83.93
2024-01-01 03:15:00,42001.62,42091.98,41874.24,41998.58,35.67
2024-01-01 03:30:00,41998.58,42182.89,41781.9,41988.47,95.39
2024-01-01 03:45:00,41988.47,42158.15,41894.45,42008.86,66.3
2024-01-01 04:00:00,42008.86,42098.04,41970.68,41999.49,70.69
2024-01-01 04:15:00,41999.49,42100.91,41903.52,42008.73,18.57
2024-01-01 04:30:00,42008.73,42086.56,41992.93,42018.78,80.4
2024-01-01 04:45:00,42018.78,42059.46,41936.86,42008.61,14.85
2024-01-01 05:00:00,42008.61,42156.09,41996.82,42011.29,53.48
2024-01-01 05:15:00,42011.29,42109.9,41855.91,42013.38,49.42
2024-01-01 05:30:00,42013.38,42068.53,41896.77,42005.89,88.65
2024-01-01 05:45:00,42005.89,42066.82,41911.81,42019.86,16.11
2024-01-01 06:00:00,42019.86,42217.76,41958.91,41997.85,34.49
2024-01-01 06:15:00,41997.85,42183.04,41954.38,41997.29,48.2
2024-01-01 06:30:00,41997.29,42128.06,41808.34,42006.84,59.63
2024-01-01 06:45:00,42006.84,42077.82,41857.11,42014.12,22.89
2024-01-01 07:00:00,42014.12,42034.18,41826.54,42007.58,30.14
2024-01-01 07:15:00,42007.58,42168.94,41903.66,42013.46,83.81
2024-01-01 07:30:00,42013.46,42030.83,41806.28,42015.12,99.33
2024-01-01 07:45:00,42015.12,42129.11,41961.87,42008.53,51.27
2024-01-01 08:00:00,42008.53,42089.63,41804.0,42010.57,84.18
2024-01-01 08:15:00,42010.57,42216.34,41929.93,42020.22,15.84
2024-01-01 08:30:00,42020.22,42171.28,41870.56,42029.36,45.41
2024-01-01 08:45:00,42029.36,42149.74,41995.23,42019.83,19.97
2024-01-01 09:00:00,42019.83,42174.76,41993.67,42021.63,40.3
2024-01-01 09:15:00,42021.63,42085.53,42015.09,42024.74,12.34
2024-01-01 09:30:00,42024.74,42092.69,41962.87,42031.5,78.0
2024-01-01 09:45:00,42031.5,42054.42,41995.29,42033.01,15.05
2024-01-01 10:00:00,42033.01,42177.26,41894.77,42029.86,68.46
2024-01-01 10:15:00,42029.86,42040.57,41823.91,42019.61,21.02
2024-01-01 10:30:00,42019.61,42087.36,41987.24,42015.84,71.12
2024-01-01 10:45:00,42015.84,42047.34,41880.14,42011.49,93.92
2024-01-01 11:00:00,42011.49,42218.31,41968.04,42022.08,26.86
2024-01-01 11:15:00,42022.08,42214.37,41875.01,42013.34,64.32
2024-01-01 11:30:00,42013.34,42024.96,42002.14,42012.67,92.57
2024-01-01 11:45:00,42012.67,42146.97,41818.13,42003.95,85.9
2024-01-01 12:00:00,42003.95,42044.85,41937.93,41998.91,62.96
2024-01-01 12:15:00,41998.91,42146.22,41855.66,41995.93,81.53
2024-01-01 12:30:00,41995.93,42101.91,41985.29,42001.71,88.71
2024-01-01 12:45:00,42001.71,42087.67,41801.1,42010.48,70.48
2024-01-01 13:00:00,42010.48,42075.43,42001.8,42010.12,15.78
